Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1784917070,50,POST,browse/product_list,0.777778,0.000000,6700,7000,7000,7000,7700,8000,8000,8000,8000,8000,8000,12,0,6200,6376.441034999516,4065.8501430007163,8034.369401000731,3669.0
1784917070,50,POST,checkout/1_create,0.555556,0.000000,6000,6800,6900,6900,7700,7700,7700,7700,7700,7700,7700,8,0,5800,5837.067670750912,4059.2552080015594,7734.079709000071,255.0
1784917070,50,POST,detail/product,0.111111,0.000000,6400,6400,8400,8400,8400,8400,8400,8400,8400,8400,8400,3,0,6400,6352.17927299891,4231.854243997077,8428.244213999278,737.6666666666666
1784917070,50,POST,search/products,0.111111,0.000000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,2,0,491.1332419978862,2761.827591997644,491.1332419978862,5032.521941997402,473.0
1784917070,50,,Aggregated,1.666667,0.000000,6700,6900,7000,7700,8000,8400,8400,8400,8400,8400,8400,26,0,6200,5700.605987845847,421.7288949985232,8428.244213999278,2030.8461538461538
1784917071,50,POST,_setup/variants,0.000000,0.000000,420,420,420,420,420,420,420,420,420,420,420,1,0,421.7288949985232,421.7288949985232,421.7288949985232,421.7288949985232,3575.0
1784917071,50,POST,browse/product_list,1.200000,0.000000,6700,7000,7700,8000,9800,11000,11000,11000,11000,11000,11000,14,0,6700,6923.634179356668,4065.8501430007163,10607.870849999017,3669.0
1784917071,50,POST,checkout/1_create,0.800000,0.000000,6800,6900,7700,7700,11000,11000,11000,11000,11000,11000,11000,9,0,6000,6367.798344667487,4059.2552080015594,10613.643736000085,255.0
1784917071,50,POST,detail/product,0.300000,0.000000,6400,6400,8400,8400,8400,8400,8400,8400,8400,8400,8400,3,0,6400,6352.17927299891,4231.854243997077,8428.244213999278,737.6666666666666
1784917071,50,POST,search/products,0.100000,0.000000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,2,0,491.1332419978862,2761.827591997644,491.1332419978862,5032.521941997402,473.0
1784917071,50,,Aggregated,2.400000,0.000000,6800,7000,7700,8000,9800,11000,11000,11000,11000,11000,11000,29,0,6200,6180.792603827285,421.7288949985232,10613.643736000085,2082.5862068965516
1784917072,50,POST,_setup/variants,0.000000,0.000000,420,420,420,420,420,420,420,420,420,420,420,1,0,421.7288949985232,421.7288949985232,421.7288949985232,421.7288949985232,3575.0
1784917072,50,POST,browse/product_list,1.200000,0.000000,7000,8000,9800,10000,10000,11000,11000,11000,11000,11000,11000,16,0,6700,7339.201142561933,4065.8501430007163,10607.870849999017,3669.0
1784917072,50,POST,checkout/1_create,0.800000,0.000000,6800,6900,7700,7700,11000,11000,11000,11000,11000,11000,11000,9,0,6000,6367.798344667487,4059.2552080015594,10613.643736000085,255.0
1784917072,50,POST,detail/product,0.300000,0.000000,6400,6400,8400,8400,8400,8400,8400,8400,8400,8400,8400,3,0,6400,6352.17927299891,4231.854243997077,8428.244213999278,737.6666666666666
1784917072,50,POST,search/products,0.100000,0.000000,8400,8400,8400,8400,8400,8400,8400,8400,8400,8400,8400,3,0,5000,4629.467757664922,491.1332419978862,8364.748088999477,383.3333333333333
1784917072,50,,Aggregated,2.400000,0.000000,7000,7700,8400,9800,10000,11000,11000,11000,11000,11000,11000,32,0,6400,6503.252292812135,421.7288949985232,10613.643736000085,2123.03125
1784917073,50,POST,_setup/variants,0.000000,0.000000,420,420,420,420,420,420,420,420,420,420,420,1,0,421.7288949985232,421.7288949985232,421.7288949985232,421.7288949985232,3575.0
1784917073,50,POST,browse/product_list,1.200000,0.000000,7700,8000,10000,10000,10000,11000,11000,11000,11000,11000,11000,16,0,6700,7339.201142561933,4065.8501430007163,10607.870849999017,3669.0
1784917073,50,POST,checkout/1_create,0.800000,0.000000,6900,7700,10000,10000,11000,11000,11000,11000,11000,11000,11000,10,0,6000,6747.977421700489,4059.2552080015594,10613.643736000085,255.0
1784917073,50,POST,detail/product,0.300000,0.000000,8400,8400,8400,8400,8400,8400,8400,8400,8400,8400,8400,3,0,6400,6352.17927299891,4231.854243997077,8428.244213999278,737.6666666666666
1784917073,50,POST,search/products,0.100000,0.000000,8400,8400,8400,8400,8400,8400,8400,8400,8400,8400,8400,3,0,5000,4629.467757664922,491.1332419978862,8364.748088999477,383.3333333333333
1784917073,50,,Aggregated,2.400000,0.000000,7000,8400,9800,10000,10000,11000,11000,11000,11000,11000,11000,33,0,6700,6614.353408635934,421.7288949985232,10613.643736000085,2066.4242424242425
1784917074,50,POST,_setup/variants,0.000000,0.000000,420,420,420,420,420,420,420,420,420,420,420,1,0,421.7288949985232,421.7288949985232,421.7288949985232,421.7288949985232,3575.0
